id,handle,time,status,changed,url
1660,CA06N_HAW@bea.gov,2014-07-15 15:02:11 UTC,200,[],http://bea.gov/iTable/download.cfm?ext=csv&fid=EE7DE9D9EB76F782EF9B505416C7ABCFA677021A2F3D8B481DC4BE061D0F0BD26553FE2DA6EEA387F179CD3BA31E9484804671F7065E73FEB1F128BCB4C90013
1661,CA06N_HON@bea.gov,2014-07-15 15:02:13 UTC,200,[],http://bea.gov/iTable/download.cfm?ext=csv&fid=6F0217B6EF2F3DC4501EDA353D26CD0EC367A04D1D92FA2EA869C67E2E815BBA38D0DE0A2968344C097CF7B770E4F5E770B377A01B5E9412D99E6C00E5644F1D
1662,CA06N_KAU@bea.gov,2014-07-15 15:02:14 UTC,200,[],http://bea.gov/iTable/download.cfm?ext=csv&fid=8D271C1738B661F2B390C55CDF1D91393D3FC36765B62101290504552AB2A84C3B4A56EB9BCCCE66E4ABFB28D79AC1119006BFBFD059861C9E025699941B306A
1663,CA06N_MAU@bea.gov,2014-07-15 15:02:15 UTC,200,[],http://bea.gov/iTable/download.cfm?ext=csv&fid=012F3F91179F553843E2955D420717D82369DE3E89905190CEFA97709D107EB3DA863DE958D3940CCCA789BC4D62688DAE66F0E06820095136B21A6802C09BDA
1664,SA06N_HI@bea.gov,2014-07-15 15:02:12 UTC,200,[],http://bea.gov/iTable/download.cfm?ext=csv&fid=06799E78FF5E26222E3D263970F385943F4905506D4894A2407EFD810AB6544E23131215300436A95E5F8648C26B8243ACFDC856E6BEBCF8A66AB93E45FB41F8
1665,SQ35_HI@bea.gov,2014-07-15 15:05:30 UTC,200,[],http://bea.gov/iTable/download.cfm?ext=csv&fid=D148E7A21CC30F99D415F7F1CB8713FA1B39C54874AA18CBC785448FE95ECF4374FC53B9D5DF518ECE5FF493C63CA745571D894D3DED16710C1F9F9A6FA354F6
1666,CA04_HAW@bea.gov,2014-07-15 15:02:03 UTC,200,[],http://bea.gov/iTable/download.cfm?ext=csv&fid=41138B9DDB479943DD573712BA0167309DCFC106712AD745491486CEBD62A2FA4650E5E0F2B748BA8058E4CCCD8BA238A0C6D705174A6994B5BC4AE0943A89E9
1667,CA04_HON@bea.gov,2014-07-15 15:02:04 UTC,200,[],http://bea.gov/iTable/download.cfm?ext=csv&fid=062EF280D130616CB6AEAEC30A20BF8BA722C646E391F48AA3B8D54BE19D9CF084F9EEBE442A85389D37F2DFC5422F0510CFD6F8034CC4781D3EDDEA61ECEBA2
1668,CA04_KAU@bea.gov,2014-07-15 15:02:05 UTC,200,[],http://bea.gov/iTable/download.cfm?ext=csv&fid=6B574C8C213A2395A5D5AFB4D663AA3BD21B5854F80D8C4E04EB5CB1AF54B47B6F4681B439E26BC9DE8E32E5F5743EB5EB07615609D5178005CC2475E2FE1A9D
1669,CA04_MAU@bea.gov,2014-07-15 15:02:06 UTC,200,[],http://bea.gov/iTable/download.cfm?ext=csv&fid=039867F917F4C4F990C9C1A3AFB2517BEEAA547C08C58B8F6B64680CE01507E5031E927A9EB09633BD1783ECFF6F887BB252323700FE8E6294A9CBCACF5CC469
1670,SA06S_HI@bea.gov,2014-07-15 02:02:41 UTC,200,[],http://bea.gov/iTable/download.cfm?ext=csv&fid=890512235D1220F2C5E31B785AD6F8B411B3B8B1707A44A784002ACA312D6F817F50140EC0F5B8EB1DC5B93407BD252EC3A7C3FFA072F55F6917259031B8EA2F
1671,TOUR_YTD@hawaiitourismauthority.org,2014-07-15 01:56:09 UTC,200,[],http://www.hawaiitourismauthority.org/default/assets/File/reports/major-market-areas/Total Arrivals by Air ytd May 2014.xls
